year,National_defense,Nondefense,State_and_local
1950,-0.03,-0.43,0.58
1951,6.49,-0.33,0.06
1952,3.84,0.22,0.11
1953,0.93,0.39,0.33
1954,-2.09,-0.11,0.59
1955,-1.2,-0.11,0.54
1956,-0.06,-0.13,0.25
1957,0.55,0,0.47
1958,0,0.07,0.69
1959,-0.35,0.64,0.3
1960,-0.09,-0.15,0.38
1961,0.56,0.09,0.54
1962,0.76,0.47,0.28
1963,-0.26,0.29,0.54
1964,-0.34,0.29,0.63
1965,-0.14,0.24,0.63
1966,1.23,0.11,0.61
1967,1.27,0.06,0.5
1968,0.18,0.04,0.62
1969,-0.44,0.11,0.37
1970,-0.83,0.03,0.31
1971,-0.97,0.17,0.36
1972,-0.59,0.22,0.26
1973,-0.4,0.01,0.32
1974,-0.07,0.14,0.42
1975,-0.07,0.12,0.43
1976,-0.03,0.05,0.1
1977,0.06,0.15,0.04
1978,0.05,0.19,0.37
1979,0.16,0.05,0.16
1980,0.23,0.16,-0.02
1981,0.4,0.03,-0.23
1982,0.48,-0.11,0.01
1983,0.53,0.14,0.14
1984,0.39,-0.04,0.41
1985,0.64,0.16,0.59
1986,0.52,0.09,0.53
1987,0.38,0.01,0.24
1988,-0.02,-0.12,0.42
1989,-0.02,0.18,0.43
1990,0.02,0.18,0.46
1991,-0.07,0.06,0.25
1992,-0.3,0.16,0.24
1993,-0.31,0,0.14
1994,-0.28,-0.02,0.32
1995,-0.21,0,0.31
1996,-0.08,-0.01,0.27
1997,-0.13,0.07,0.4
1998,-0.09,0.03,0.44
1999,0.06,0.07,0.49
2000,-0.04,0.05,0.32
2001,0.13,0.11,0.43
2002,0.28,0.18,0.35
2003,0.36,0.11,-0.05
2004,0.27,0.05,-0.02
2005,0.09,0.03,0
2006,0.09,0.09,0.11
2007,0.11,0.01,0.18
2008,0.36,0.14,0.04
2009,0.27,0.17,0.2
2010,0.18,0.19,-0.35
2011,-0.13,-0.11,-0.41
2012,-0.18,0.03,-0.22
2013,-0.34,-0.12,-0.09
2014,-0.18,0.01,0.06
2015,-0.09,0.09,0.26
2016,-0.03,0.03,0.13
2017,0.01,0,0.01
