year,Fixed_investment,Change_in_private_inventories
1950,2.9,2.78
1951,-0.69,0.74
1952,-0.1,-1.34
1953,1.14,-0.27
1954,0.28,-0.89
1955,1.94,1.5
1956,0.23,-0.28
1957,-0.11,-0.53
1958,-0.98,-0.17
1959,1.99,0.83
1960,0.19,-0.13
1961,0.1,-0.05
1962,1.26,0.55
1963,1.15,-0.07
1964,1.39,-0.12
1965,1.62,0.64
1966,1,0.56
1967,-0.15,-0.47
1968,1.08,-0.09
1969,0.93,0
1970,-0.33,-0.7
1971,1.07,0.56
1972,1.84,0.06
1973,1.47,0.48
1974,-0.98,-0.26
1975,-1.67,-1.23
1976,1.54,1.37
1977,2.23,0.24
1978,2.09,0.12
1979,1.11,-0.4
1980,-1.18,-0.89
1981,0.5,1.13
1982,-1.25,-1.3
1983,1.32,0.28
1984,2.83,1.9
1985,1.02,-1.03
1986,0.34,-0.31
1987,0.11,0.41
1988,0.58,-0.13
1989,0.55,0.17
1990,-0.25,-0.21
1991,-0.84,-0.25
1992,0.83,0.28
1993,1.16,0.07
1994,1.29,0.61
1995,1,-0.44
1996,1.48,0.02
1997,1.48,0.52
1998,1.8,-0.04
1999,1.62,-0.02
2000,1.31,-0.05
2001,-0.3,-0.89
2002,-0.64,0.53
2003,0.69,0.02
2004,1.18,0.37
2005,1.24,-0.04
2006,0.37,0.04
2007,-0.37,-0.23
2008,-1.22,-0.49
2009,-2.77,-0.76
2010,0.21,1.45
2011,0.86,-0.14
2012,1.38,0.14
2013,0.76,0.19
2014,0.97,-0.07
2015,0.64,0.23
2016,0.12,-0.4
2017,0.65,-0.11
