year,Exports,Imports
1950,-0.65,-0.63
1951,0.96,-0.16
1952,-0.21,-0.36
1953,-0.3,-0.38
1954,0.19,0.2
1955,0.43,-0.47
1956,0.69,-0.33
1957,0.41,-0.17
1958,-0.67,-0.19
1959,0.44,-0.44
1960,0.75,-0.06
1961,0.03,0.03
1962,0.25,-0.45
1963,0.34,-0.11
1964,0.57,-0.22
1965,0.14,-0.44
1966,0.35,-0.63
1967,0.12,-0.33
1968,0.39,-0.68
1969,0.25,-0.28
1970,0.54,-0.21
1971,0.1,-0.28
1972,0.42,-0.61
1973,1.08,-0.28
1974,0.56,0.17
1975,-0.05,0.91
1976,0.36,-1.4
1977,0.19,-0.89
1978,0.8,-0.76
1979,0.8,-0.16
1980,0.95,0.69
1981,0.12,-0.27
1982,-0.71,0.12
1983,-0.21,-1.1
1984,0.61,-2.15
1985,0.24,-0.63
1986,0.53,-0.82
1987,0.76,-0.59
1988,1.22,-0.41
1989,0.97,-0.46
1990,0.78,-0.37
1991,0.6,0.01
1992,0.66,-0.7
1993,0.31,-0.87
1994,0.84,-1.24
1995,1.02,-0.89
1996,0.86,-1.01
1997,1.26,-1.57
1998,0.25,-1.39
1999,0.27,-1.24
2000,0.88,-1.7
2001,-0.61,0.4
2002,-0.16,-0.47
2003,0.16,-0.59
2004,0.89,-1.55
2005,0.61,-0.94
2006,0.9,-0.99
2007,0.99,-0.41
2008,0.67,0.44
2009,-1.07,2.26
2010,1.33,-1.79
2011,0.87,-0.89
2012,0.46,-0.38
2013,0.47,-0.18
2014,0.58,-0.74
2015,0.05,-0.78
2016,-0.04,-0.19
2017,0.4,-0.58
