year,Goods,Services
1950,3.06,1.14
1951,-0.47,1.47
1952,0.81,1.09
1953,1.8,1.05
1954,0.37,0.89
1955,3.16,1.34
1956,0.52,1.25
1957,0.58,0.91
1958,-0.34,0.87
1959,2.1,1.39
1960,0.58,1.09
1961,0.21,1.05
1962,1.63,1.38
1963,1.25,1.23
1964,1.85,1.72
1965,2.18,1.61
1966,1.95,1.42
1967,0.6,1.16
1968,1.85,1.52
1969,0.92,1.29
1970,0.23,1.16
1971,1.23,1.06
1972,1.9,1.77
1973,1.51,1.46
1974,-1.08,0.59
1975,0.2,1.16
1976,2.02,1.39
1977,1.24,1.34
1978,1.18,1.51
1979,0.45,0.99
1980,-0.72,0.53
1981,0.33,0.58
1982,0.19,0.67
1983,1.69,1.85
1984,1.91,1.4
1985,1.37,1.88
1986,1.45,1.19
1987,0.47,1.67
1988,0.95,1.71
1989,0.64,1.22
1990,0.16,1.16
1991,-0.49,0.64
1992,0.76,1.62
1993,0.99,1.25
1994,1.25,1.27
1995,0.71,1.23
1996,1.06,1.22
1997,1.12,1.33
1998,1.54,1.91
1999,1.82,1.62
2000,1.22,2.09
2001,0.71,1
2002,0.91,0.81
2003,1.14,0.97
2004,1.19,1.39
2005,0.96,1.4
2006,0.85,1.19
2007,0.63,0.87
2008,-0.58,0.35
2009,-0.68,-0.4
2010,0.77,0.55
2011,0.71,0.84
2012,0.63,0.38
2013,0.71,0.28
2014,0.88,1.07
2015,1.03,1.44
2016,0.81,1.05
2017,0.85,1.05
